Item Name,Item Description,Item Selling Price,Item Stock level,Item manufacturer
Lime Cordial - Roses,Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s,12.03,69,Thoughtworks
Sour Puss Sour Apple,and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.,42.18,3,Agivu
"Chilli Paste, Hot Sambal Oelek",and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.,84.59,36,Divavu
The Pop Shoppe - Root Beer,Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s,89.09,15,Devbug
"Pork - Loin, Boneless",but also the leap into electronic typesetting,6.22,18,Kazu
"Garlic - Primerba, Paste",but also the leap into electronic typesetting,53.72,74,Yotz
Cheese - Swiss Sliced,and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.,98.25,23,Viva
Coffee Beans - Chocolate,Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s,32.69,15,Dynava
Mortadella,when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries,92.9,74,Blogtags
Wine - Rhine Riesling Wolf Blass,and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.,69.05,56,Fivechat
Pastry - French Mini Assorted,and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.,71.32,73,Brainlounge
"Pepper - Julienne, Frozen",when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries,35.51,58,Brightdog
Wine - Crozes Hermitage E.,when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries,70.5,4,Twimbo
Smirnoff Green Apple Twist,when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries,88.65,18,Kazu
Muffin Chocolate Individual Wrap,and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.,67.77,52,Jabbersphere
Couscous,but also the leap into electronic typesetting,57.87,32,Tagchat
Liquid Aminios Acid - Braggs,when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries,26.97,49,Zoozzy
Cheese - St. Paulin,remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages,2.6,9,Photojam
Appetizer - Seafood Assortment,but also the leap into electronic typesetting,59.11,47,Devshare
"Lemonade - Strawberry, 591 Ml",but also the leap into electronic typesetting,47.36,56,Yadel
Foam Tray S2,but also the leap into electronic typesetting,10.81,87,Meeveo
"Juice - Apple, 341 Ml",remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages,16.65,48,Bluezoom
Carroway Seed,but also the leap into electronic typesetting,78.91,13,Mybuzz
Soup Campbells Turkey Veg.,but also the leap into electronic typesetting,64.79,32,Flashdog
Chives - Fresh,when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries,38.8,8,Realmix
Lobster - Cooked,remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages,81.09,67,Babblestorm
Pasta - Orecchiette,when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries,54.44,72,Wikido
Sambuca Cream,but also the leap into electronic typesetting,22.36,6,Trilith
Pickles - Gherkins,but also the leap into electronic typesetting,65.52,64,Linkbridge
Bread,remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages,14.5,18,Jetpulse
"Mushroom - Chantrelle, Fresh",remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages,37.1,37,Gigazoom
Mix Pina Colada,but also the leap into electronic typesetting,33.21,46,Kare
Wine La Vielle Ferme Cote Du,but also the leap into electronic typesetting,86.96,61,Meezzy
Flower - Leather Leaf Fern,and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.,96.89,8,Skinder
Mayonnaise,and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.,73.98,85,Oodoo
Oil - Olive,remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages,36.89,45,Kazu
Tea - Apple Green Tea,when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries,9.52,52,Brightdog
Cumin - Whole,and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.,35.48,8,Divanoodle
Chef Hat 20cm,but also the leap into electronic typesetting,71.79,37,Einti
Barley - Pearl,and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.,78.87,94,Kaymbo
Muffin Batt - Choc Chk,Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s,82.03,49,Yamia
Cardamon Ground,when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries,45.57,70,Digitube
Cheese - Cambozola,and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.,21.35,50,Agivu
"Turkey - Breast, Double",remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages,62.16,58,Zoonder
"Iced Tea - Lemon, 340ml",but also the leap into electronic typesetting,97.05,18,Quinu
Apple,when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries,27.79,73,Apple.Inc
"Glass - Wine, Plastic, Clear 5 Oz",when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries,41.76,2,Twitterwire
"Wine - White, Riesling, Henry Of",but also the leap into electronic typesetting,64.85,11,Jabbercube
"Mushroom - Oyster, Fresh",Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s,17.37,21,Talane
"Champagne - Brights, Dry",and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.,60.35,54,Einti
Wine - Magnotta - Pinot Gris Sr,Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s,32.06,77,Flashdog
Ham - Cooked,and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.,88.44,42,Midel
Quiche Assorted,when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries,87.8,50,Jaxworks
Plastic Wrap,when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries,54.48,80,Dazzlesphere
Mcguinness - Blue Curacao,remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages,2.56,67,Realpoint
"Croissant, Raw - Mini",and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.,37.63,88,Skipfire
"Pasta - Cappellini, Dry",and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.,5.5,97,Ntag
Tea - Honey Green Tea,remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages,6.73,74,Trupe
Cheese - Gorgonzola,but also the leap into electronic typesetting,41.95,60,Gabvine
Squid - Breaded,but also the leap into electronic typesetting,40.53,15,Fivespan
"Nut - Walnut, Chopped",remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages,8.13,95,Cogibox
Cookies - Englishbay Oatmeal,and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.,25.49,66,Tagcat
Wine - Beaujolais Villages,remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages,33.98,85,Mynte
Beef - Kobe Striploin,when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries,26.34,86,Blogtag
Cookies - Fortune,and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.,53.15,86,Dabfeed
"Pasta - Detalini, White, Fresh",but also the leap into electronic typesetting,84.57,57,Podcat
Dry Ice,and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.,99.25,38,Photobean
Barramundi,remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages,24.19,67,Youspan
Veal - Bones,remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages,26.06,5,Bubblemix
Ice Cream Bar - Oreo Sandwich,but also the leap into electronic typesetting,78.23,58,Kayveo
Transfer Sheets,remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages,94.97,14,Tanoodle
Buffalo - Short Rib Fresh,and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.,25.23,33,Bluezoom
Juice - Prune,and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.,46.42,44,Vimbo
Appetizer - Lobster Phyllo Roll,when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries,11.69,10,Kwilith
Bread Crumbs - Panko,when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries,60.14,57,Tanoodle
"Soup - Knorr, Veg / Beef",Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s,83.77,5,Kwideo
Chick Peas - Dried,when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries,47.76,61,Livetube
Bread - White Mini Epi,remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages,91.87,6,Quimba
Glass - Juice Clear 5oz 55005,remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages,20.85,66,Mybuzz
Fish,and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.,20.5,55,Realfire
"Chocolate - Semi Sweet, Calets",remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages,52.22,59,Gigabox
Chicken - Whole,remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages,17.53,12,Zoomcast
Nantucket Pine Orangebanana,and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.,40.62,63,Twitterlist
Wine - Zinfandel Rosenblum,but also the leap into electronic typesetting,57.65,1,Meembee
Nacho Chips,Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s,89.17,12,Plambee
